of HHincome,mean(HHincome),      Freq.,Percent,e(y| y > z),inv Pareto,e(y| y <z)
404,1890414.875,235,0.09,7467385.01004673,3.95013026441972,1087719.44139952
405,1899464.625,1035,0.38,7477811.82724719,3.93679973231783,1090714.57361444
408,1902135.875,107,0.04,7488272.75773921,3.93677068823446,1093721.07938168
409,1908075.75,208,0.08,7498761.84985902,3.93001265796655,1096715.20825434
410,1917486.25,449,0.17,7509272.72669492,3.91620681853386,1099709.15859288
411,1921758.625,94,0.03,7519815.20613208,3.91298631800447,1102715.69201717
412,1926786.5,244,0.09,7530388.03922495,3.90826281958326,1105715.84928085
413,1934263.125,223,0.08,7540986.76065341,3.89863543547283,1108712.45749515
414,1940603.5,263,0.1,7551613.67386148,3.89137382977073,1111714.45992244
415,1948223.375,491,0.18,7562266.50712928,3.88162189416769,1114717.68108214
416,1951572.375,50,0.02,7572953.54357143,3.88043694437488,1117726.72690856
417,1958412.875,313,0.12,7583668.31583969,3.87235419693597,1120726.17168587
418,1965286.625,193,0.07,7594410.91945507,3.86427649934017,1123728.63298807
419,1973105.25,234,0.09,7605179.70426245,3.85442170622295,1126734.19724525
420,1980623.0,238,0.09,7615975.39851248,3.84524232956624,1129746.19387427
421,1986646.125,278,0.1,7626801.03173077,3.8390335026228,1132763.48751302
422,1999579.5,3843,1.42,7637643.46242775,3.81962480732961,1135780.74064901
432,2004166.875,209,0.08,7648518.89985521,3.81630840987491,1138822.28557631
433,2013213.5,227,0.08,7659418.91029981,3.80457358859346,1141858.5823813
434,2020505.25,204,0.08,7670347.03754845,3.79625197091096,1144905.27789745
435,2026555.125,266,0.1,7681305.85679612,3.79032662967711,1147956.14888039
436,2036671.25,401,0.15,7692287.63618677,3.77689214014622,1151006.83976969
437,2041991.25,114,0.04,7703301.85916179,3.77244606663314,1154071.42250405
438,2048962.25,369,0.14,7714345.49121094,3.76500127867702,1157133.21501266
439,2053921.125,136,0.05,7725422.64261252,3.76130443792603,1160197.91960024
440,2060887.625,231,0.09,7736529.57401961,3.75397934374011,1163258.61550915
441,2068722.875,254,0.09,7747664.75417485,3.74514385073199,1166322.19574632
442,2078126.125,257,0.1,7758825.2632874,3.73356803032703,1169391.58581181
443,2082883.875,248,0.09,7770020.41395464,3.73041459834367,1172472.04187685
444,2088530.125,237,0.09,7781248.65563241,3.72570573078634,1175547.75752929
445,2099515.25,1031,0.38,7792499.61287129,3.71157085563979,1178621.77223458
448,2101830.5,77,0.03,7803790.62301587,3.71285440144478,1181712.01880427
449,2108568.5,214,0.08,7815113.13220676,3.70635961421541,1184789.33813937
450,2117841.25,269,0.1,7826462.27938247,3.69549052809434,1187868.60201224
451,2125188.5,225,0.08,7837842.06736527,3.68806911357052,1190958.21213844
452,2132724.0,237,0.09,7849252.3035,3.68038822815329,1194051.68991282
453,2140610.75,278,0.1,7860692.46693387,3.6721727511337,1197149.61832895
454,2148882.25,380,0.14,7872161.96536145,3.66337521069917,1200253.10889365
455,2153757.25,104,0.04,7883667.80985915,3.66042543088788,1203363.36837269
456,2159656.25,262,0.1,7895208.15574597,3.65577075321407,1206469.23073095
457,2165446.75,361,0.13,7906783.43131313,3.65134050574697,1209574.07444193
458,2171472.0,195,0.07,7918393.37348178,3.64655559614942,1212677.55715478
459,2180126.75,253,0.09,7930032.85953347,3.63741826457268,1215780.45179182
460,2186740.0,194,0.07,7941706.21900406,3.63175604736003,1218891.24630216
461,2198983.0,1444,0.54,7953402.19297352,3.61685478831511,1222003.30017258
466,2204472.75,218,0.08,7965134.70204082,3.6131699527884,1225134.64536433
467,2213059.5,233,0.09,7976897.63701431,3.60446596081773,1228263.52109799
468,2220684.25,181,0.07,7988693.15625,3.59740163701796,1231399.81402443
469,2228754.75,282,0.1,8000520.54517454,3.58968188185557,1234540.39953546
470,2238436.25,294,0.11,8012376.68569959,3.57945270306429,1237686.64747997
471,2241984.75,127,0.05,8024274.40103093,3.57909410446745,1240843.58628918
472,2249356.75,433,0.16,8036206.04907025,3.57266851915342,1243991.82894236
473,2253108.25,94,0.03,8048179.33643892,3.57203402741032,1247143.44311496
474,2259841.75,212,0.08,8060188.33558091,3.56670476398664,1250287.08313647
475,2267259.0,220,0.08,8072231.8477131,3.56034835354633,1253432.11325131
476,2277692.25,270,0.1,8084303.80520833,3.5493398220099,1256580.6439555
477,2282603.0,150,0.06,8096415.91544885,3.54701010883139,1259741.98019712
478,2289281.5,234,0.09,8108564.73221757,3.54196927386063,1262898.95865331
479,2299594.75,896,0.33,8120742.8663522,3.53137998177818,1266057.05878053
481,2300479.75,25,0.01,8132970.30987395,3.53533662266488,1269227.41979654
482,2305466.5,202,0.07,8145238.73894737,3.5330111016349,1272381.09664731
483,2314045.0,217,0.08,8157540.83544304,3.52522999139733,1275530.74726729
484,2319784.5,608,0.23,8169882.81501057,3.5218283487154,1278687.32554307
485,2320460.25,18,0.01,8182275.65942797,3.52614342754976,1281842.16546567
486,2326460.25,243,0.09,8194708.38853503,3.52239346816049,1284979.98445218
487,2336445.75,346,0.13,8207172.77712766,3.51267423056053,1288116.97320383
488,2342253.5,148,0.05,8219677.93550107,3.50930329936579,1291265.10766868
489,2349255.5,291,0.11,8232221.57318376,3.50418316491491,1294411.77950201
490,2357376.5,301,0.11,8244801.54122056,3.49744792196773,1297560.56672738
491,2363731.5,125,0.05,8257421.86319742,3.49338402572264,1300714.7808145
492,2369295.5,202,0.07,8270084.50053763,3.49052471527407,1303869.13309695
493,2378121.5,201,0.07,8282782.69665948,3.48290980787125,1307021.28211145
494,2385670.0,296,0.11,8295519.44114471,3.47722838495882,1310180.86977484
495,2393865.25,165,0.06,8308293.58441558,3.47066050790268,1313344.07309903
496,2399992.5,2418,0.9,8321109.85574837,3.46713994137414,1316512.75690226
502,2400241.5,37,0.01,8333981.30869565,3.4721428275845,1319680.82632652
503,2405733.0,236,0.09,8346896.88235294,3.46958572807246,1322831.14899029
504,2414872.25,230,0.09,8359848.90120087,3.46181828094669,1325979.11948742
505,2421673.25,265,0.1,8372842.72100656,3.45746178639359,1329135.33145992
506,2428854.75,163,0.06,8385877.78234649,3.45260571153812,1332292.95550194
507,2437179.75,303,0.11,8398951.84395604,3.44617660800605,1335453.07594718
508,2443431.75,129,0.05,8412069.72962555,3.44272752026962,1338618.95719446
509,2449436.75,257,0.1,8425232.27483444,3.43966108732321,1341784.60989591
510,2456659.75,268,0.1,8438437.08130531,3.43492300116258,1344949.3302962
511,2464733.5,209,0.08,8451682.54379157,3.42904518634229,1348116.59644921
512,2471491.25,230,0.09,8464971.85777778,3.42504625811553,1351288.80356157
513,2480293.0,216,0.08,8478300.76391982,3.41826581130529,1354462.1815968
514,2488742.5,218,0.08,8491670.31361607,3.41203250782918,1357642.49464314
515,2499442.25,1213,0.45,8505075.74552573,3.40278946053894,1360828.69184133
519,2503973.75,183,0.07,8518531.13116592,3.40200496557359,1364027.04453278
520,2513413.25,230,0.09,8532025.77808989,3.39459727845785,1367220.1725593
521,2522390.25,240,0.09,8545560.99324324,3.38788218565436,1370421.8292002
522,2530409.75,194,0.07,8559139.21275395,3.38251115763127,1373630.65488488
523,2539037.5,235,0.09,8572759.35237557,3.37638154315388,1376843.93014909
524,2547988.5,404,0.15,8586420.96428571,3.36988214989421,1380063.30291876
525,2551549.0,38,0.01,8600136.58238636,3.37055513430718,1383289.61561788
526,2557531.25,241,0.09,8613901.05922551,3.36805310168762,1386507.9610294
527,2564956.25,207,0.08,8627711.43550228,3.36368756211818,1389725.05797712
528,2573321.5,223,0.08,8641565.87471396,3.35813689611421,1392944.86946211
529,2581803.0,246,0.09,8655464.41341743,3.35248832440641,1396169.94222314
530,2590909.25,237,0.09,8669405.91954023,3.3460862897997,1399400.55001
531,2599909.75,1325,0.49,8683390.93375576,3.33988167618348,1402638.34539041
534,2600008.25,4,0.0,8697440.31639723,3.34515873801448,1405882.98334328
535,2603295.5,221,0.08,8711547.13310185,3.34635354807084,1409110.34892884
536,2612578.5,198,0.07,8725697.87238979,3.33987969065419,1412329.1768293
537,2621297.75,253,0.09,8739894.15174419,3.33418595874665,1415555.65350449
538,2628767.75,152,0.06,8754139.2016317,3.33013032499037,1418788.20604201
539,2638084.5,319,0.12,8768429.04906542,3.32378627336062,1422023.44546436
540,2641567.5,114,0.04,8782777.67096019,3.32483560270945,1425266.27494312
541,2648770.75,327,0.12,8797176.74823944,3.32122995100253,1428501.11862678
542,2653615.5,97,0.04,8811632.18647059,3.32061377636307,1431737.90809992
543,2660898.5,266,0.1,8826138.63384434,3.31697681585537,1434970.38850178
544,2669872.0,245,0.09,8840692.45567376,3.31127951290315,1438205.02731839
545,2679494.25,222,0.08,8855292.4514218,3.30483726599592,1441446.25619387
546,2685087.75,195,0.07,8869948.5195962,3.30341104107164,1444695.72599389
547,2691815.5,200,0.07,8884658.36011905,3.30061936270114,1447942.82553317
548,2699544.25,826,0.31,8899419.96897375,3.29663793026314,1451190.53486598
550,2700271.75,2,0.0,8914250.46710526,3.30124198318383,1454441.45599914
551,2705319.0,255,0.09,8929139.99100719,3.30058672970071,1457677.3788407
552,2712784.25,240,0.09,8944083.15384615,3.29701234215222,1460909.61101987
553,2720148.0,202,0.07,8959080.58795181,3.29360041731252,1464144.42920845
554,2726898.5,203,0.08,8974134.1678744,3.29096743713578,1467381.55181359
555,2733193.75,158,0.06,8989245.40375303,3.28891627377423,1470619.38458527
556,2739371.5,235,0.09,9004415.0006068,3.28703682600436,1473856.754753
557,2747991.75,336,0.12,9019637.44160584,3.28226510927693,1477093.36535466
558,2754155.25,156,0.06,9034919.1054878,3.28046834160413,1480335.45307059
559,2760098.25,185,0.07,9050260.96577017,3.27896333609507,1483576.7248185
560,2766226.5,266,0.1,9065663.01102941,3.27726706798211,1486816.62716668
561,2771791.25,177,0.07,9081127.06941032,3.27626659093116,1490055.63950296
562,2780135.5,292,0.11,9096646.75307882,3.27201560969917,1493292.34559008
563,2786645.0,205,0.08,9112227.00432099,3.26996334456703,1496533.76411504
564,2793405.75,221,0.08,9127867.6509901,3.26764833608225,1499775.24963234
565,2799914.25,1152,0.43,9143569.76861042,3.26566064250376,1503017.43133752
568,2800657.0,44,0.02,9159348.15858209,3.27042838826107,1506259.67338418
569,2807257.0,240,0.09,9175188.78491272,3.26838219119686,1509487.59689195
